dataset,seed,model,accuracy,precision,recall,f1,runtime,total_budget,avg_budget_per_node,scheduler_efficiency,med_mean,med_skew
cora,15,baseline,0.8802946593001841,0.8838080652103439,0.8690513350678372,0.8756804519403251,3.2571890354156494,446820.0,165.0,1.9701326245472093e-06,,
cora,15,scheduled,0.8710865561694291,0.8771603870494235,0.8642903589925365,0.8690572287915153,1.4838721752166748,326730.0,120.65361785888672,2.6660746064623057e-06,0.47953635454177856,0.815632164478302
cora,16,baseline,0.8931860036832413,0.8977999912076545,0.8762225826804385,0.8848117666032506,2.214884042739868,463068.0,171.0,1.928844151794642e-06,,
cora,16,scheduled,0.8674033149171271,0.8686253088589977,0.8452718570395551,0.8540901579464896,1.1985037326812744,326730.0,120.65361785888672,2.6548015637288497e-06,0.4734734892845154,0.8338528871536255
cora,17,baseline,0.8858195211786372,0.8885569309246814,0.8754959538849747,0.8809814928119996,2.60908579826355,487440.0,180.0,1.8172893508506424e-06,,
cora,17,scheduled,0.8674033149171271,0.86187836317917,0.8560226868556666,0.8579726851719184,2.0120530128479004,326730.0,120.65361785888672,2.6548015637288497e-06,0.49136948585510254,0.768389880657196
cora,18,baseline,0.860036832412523,0.8483777345771788,0.8488836578407639,0.8484332802810941,1.9948861598968506,414324.0,153.0,2.0757591460125966e-06,,
cora,18,scheduled,0.848987108655617,0.830274169477077,0.8336877049180001,0.831605904839995,1.3841354846954346,326730.0,120.65361785888672,2.5984363500615707e-06,0.46344321966171265,0.8895195126533508
cora,19,baseline,0.8968692449355433,0.9035843200600058,0.8896944951652143,0.8957046876528911,1.9615302085876465,454944.0,168.0,1.9713838295164754e-06,,
cora,19,scheduled,0.8747697974217311,0.8776539604530111,0.8648883572218213,0.8703334754458641,1.2490198612213135,326730.0,120.65361785888672,2.6773476491957613e-06,0.46972694993019104,0.8611781001091003
cora,20,baseline,0.8858195211786372,0.8776378989183691,0.8805221441351486,0.8781174710060068,2.8980445861816406,487440.0,180.0,1.8172893508506424e-06,,
cora,20,scheduled,0.8802946593001841,0.8712459796122198,0.8713977929717825,0.8705770385117627,1.8910343647003174,326730.0,120.65361785888672,2.694257213295945e-06,0.4823188781738281,0.8008068799972534
cora,21,baseline,0.8876611418047882,0.8866790898249192,0.8832522503123948,0.8836130421354195,2.619987726211548,487440.0,180.0,1.8210674991892093e-06,,
cora,21,scheduled,0.8729281767955801,0.8712723799148939,0.869126160245287,0.8696823195570025,1.4199683666229248,326730.0,120.65361785888672,2.6717111278290335e-06,0.48131534457206726,0.8143061995506287
cora,22,baseline,0.8637200736648251,0.8530115764709191,0.8557872626126359,0.8519716453188132,1.9654607772827148,463068.0,171.0,1.8652121797766743e-06,,
cora,22,scheduled,0.8471454880294659,0.8343596828810661,0.8400973217017673,0.8350830598291968,1.2159721851348877,326730.0,120.65361785888672,2.5927998286948425e-06,0.4797832667827606,0.811090350151062
cora,23,baseline,0.8913443830570903,0.8763143587354449,0.8847610207770503,0.8803624524929167,2.984626531600952,487440.0,180.0,1.8286237958663432e-06,,
cora,23,scheduled,0.8674033149171271,0.8551354133626211,0.8638218697923351,0.8586620840026162,1.545950174331665,326730.0,120.65361785888672,2.6548015637288497e-06,0.4763299226760864,0.8254708647727966
cora,24,baseline,0.8729281767955801,0.8674184462154387,0.8551408368748226,0.860297204539207,2.0393829345703125,471192.0,174.0,1.8525954956696635e-06,,
cora,24,scheduled,0.8655616942909761,0.8530149202770884,0.8579182692052619,0.8552640607713557,1.2061145305633545,326730.0,120.65361785888672,2.649165042362122e-06,0.47565874457359314,0.8241558074951172
cora,25,baseline,0.8784530386740331,0.8842273871811489,0.876726098185278,0.8798912319823428,2.056025743484497,430572.0,159.0,2.040200102826085e-06,,
cora,25,scheduled,0.8747697974217311,0.878573217079709,0.8677791388202375,0.8716447418215807,2.1571521759033203,326730.0,120.65361785888672,2.6773476491957613e-06,0.4796586036682129,0.8155013918876648
cora,26,baseline,0.861878453038674,0.8572920576499333,0.8491215547858417,0.8480414495005094,2.057258129119873,414324.0,153.0,2.0802040264109105e-06,,
cora,26,scheduled,0.852670349907919,0.8480670235090036,0.8367023389792185,0.8377805623681629,1.511277675628662,326730.0,120.65361785888672,2.6097093927950263e-06,0.4880228042602539,0.7805776000022888
cora,27,baseline,0.8931860036832413,0.8854586661658693,0.8856421800701663,0.8851420234861147,2.328526258468628,438696.0,162.0,2.0360021602276777e-06,,
cora,27,scheduled,0.8729281767955801,0.8651276155195544,0.8656490720121354,0.8648481641185202,1.529456377029419,326730.0,120.65361785888672,2.6717111278290335e-06,0.4729563891887665,0.850483775138855
cora,28,baseline,0.8729281767955801,0.8631204360945973,0.8593925347480145,0.8591554242529652,2.80179762840271,414324.0,153.0,2.1068733088007937e-06,,
cora,28,scheduled,0.852670349907919,0.8377867756516829,0.849446860665909,0.8410763311292867,1.450693130493164,326730.0,120.65361785888672,2.6097093927950263e-06,0.4853403866291046,0.7938296794891357
cora,29,baseline,0.8784530386740331,0.8612184398844198,0.8688173312540393,0.8639468605630826,2.546229600906372,487440.0,180.0,1.8021767574963752e-06,,
cora,29,scheduled,0.8655616942909761,0.8452023460129718,0.84891827402958,0.846133293909831,1.4029746055603027,326730.0,120.65361785888672,2.649165042362122e-06,0.47800540924072266,0.8140230178833008
cora,30,baseline,0.8784530386740331,0.8603313001720813,0.8763343318420699,0.8671504564945779,1.9812381267547607,406200.0,150.0,2.16261210899565e-06,,
cora,30,scheduled,0.856353591160221,0.8316948532244718,0.8446628286789145,0.8370513471460563,1.9862477779388428,326730.0,120.65361785888672,2.6209824355284824e-06,0.4788302183151245,0.8118247389793396
cora,31,baseline,0.8895027624309392,0.8824322904000735,0.884125037863668,0.8824034592224891,2.0908496379852295,487440.0,180.0,1.824845647527776e-06,,
cora,31,scheduled,0.8784530386740331,0.8710415315850167,0.8760223523450161,0.8720469665610752,1.1788485050201416,326730.0,120.65361785888672,2.6886206919292173e-06,0.48253101110458374,0.7903979420661926
cora,32,baseline,0.9005524861878453,0.8904808277796828,0.8945638859256801,0.892366447797398,2.150709867477417,463068.0,171.0,1.9447521447991337e-06,,
cora,32,scheduled,0.8710865561694291,0.8543816951482456,0.8637419431679516,0.8574648852208354,1.4061100482940674,326730.0,120.65361785888672,2.6660746064623057e-06,0.47864285111427307,0.8163025975227356
cora,33,baseline,0.860036832412523,0.8450060464059392,0.8619872758446083,0.8503741083796562,2.9051525592803955,430572.0,159.0,1.9974286122008003e-06,,
cora,33,scheduled,0.850828729281768,0.8419482437898284,0.8500412690514049,0.8450337372527527,1.610142469406128,326730.0,120.65361785888672,2.6040728714282985e-06,0.47983279824256897,0.8167976140975952
cora,34,baseline,0.8747697974217311,0.8620067455476275,0.8628512406919979,0.8612769652888217,2.3151111602783203,438696.0,162.0,1.9940227342436016e-06,,
cora,34,scheduled,0.8674033149171271,0.8512181497191491,0.8502922033540374,0.8492150323810053,1.3799080848693848,326730.0,120.65361785888672,2.6548015637288497e-06,0.47233709692955017,0.8441526293754578
cora,35,baseline,0.8895027624309392,0.8740457515266262,0.8863462005831905,0.8779828318554651,2.0933496952056885,438696.0,162.0,2.0276062750308624e-06,,
cora,35,scheduled,0.8729281767955801,0.8564399164773004,0.8770339640195113,0.8642656656782476,1.755598545074463,326730.0,120.65361785888672,2.6717111278290335e-06,0.4761699140071869,0.8331685066223145
cora,36,baseline,0.8655616942909761,0.8601401064267161,0.8317356300414277,0.8441831882072722,2.269751787185669,406200.0,150.0,2.130875662951689e-06,,
